Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
27,20,RL,60.0,7200,PAVE,,REG,LVL,ALLPUB,CORNER,GTL,NAMES,NORM,NORM,1FAM,1STORY,5,7,1951-01-01,2000-01-01,GABLE,COMPSHG,WD SDNG,WD SDNG,,0.0,TA,TA,CBLOCK,TA,TA,MN,BLQ,234,REC,486,180,900,GASA,TA,Y,SBRKR,900,0,0,900,0,1,1,0,3,1,GD,5,TYP,0,,DETCHD,2005.0,UNF,2,576,TA,TA,Y,222,32,0,0,0,0,,,,0,5,2010-01-01,WD,NORMAL,134800
28,20,RL,98.0,11478,PAVE,,REG,LVL,ALLPUB,INSIDE,GTL,NRIDGHT,NORM,NORM,1FAM,1STORY,8,5,2007-01-01,2008-01-01,GABLE,COMPSHG,VINYLSD,VINYLSD,STONE,200.0,GD,TA,PCONC,EX,TA,NO,GLQ,1218,UNF,0,486,1704,GASA,EX,Y,SBRKR,1704,0,0,1704,1,0,2,0,3,1,GD,7,TYP,1,GD,ATTCHD,2008.0,RFN,3,772,TA,TA,Y,0,50,0,0,0,0,,,,0,5,2010-01-01,WD,NORMAL,306000
29,20,RL,47.0,16321,PAVE,,IR1,LVL,ALLPUB,CULDSAC,GTL,NAMES,NORM,NORM,1FAM,1STORY,5,6,1957-01-01,1997-01-01,GABLE,COMPSHG,METALSD,METALSD,,0.0,TA,TA,CBLOCK,TA,TA,GD,BLQ,1277,UNF,0,207,1484,GASA,TA,Y,SBRKR,1600,0,0,1600,1,0,1,0,2,1,TA,6,TYP,2,GD,ATTCHD,1957.0,RFN,1,319,TA,TA,Y,288,258,0,0,0,0,,,,0,12,2006-01-01,WD,NORMAL,207500
30,30,RM,60.0,6324,PAVE,,IR1,LVL,ALLPUB,INSIDE,GTL,BRKSIDE,FEEDR,RRNN,1FAM,1STORY,4,6,1927-01-01,1950-01-01,GABLE,COMPSHG,METALSD,METALSD,,0.0,TA,TA,BRKTIL,TA,TA,NO,UNF,0,UNF,0,520,520,GASA,FA,N,SBRKR,520,0,0,520,0,0,1,0,1,1,FA,4,TYP,0,,DETCHD,1920.0,UNF,1,240,FA,TA,Y,49,0,87,0,0,0,,,,0,5,2008-01-01,WD,NORMAL,68500
31,70,C (ALL),50.0,8500,PAVE,PAVE,REG,LVL,ALLPUB,INSIDE,GTL,IDOTRR,FEEDR,NORM,1FAM,2STORY,4,4,1920-01-01,1950-01-01,GAMBREL,COMPSHG,BRKFACE,BRKFACE,,0.0,TA,FA,BRKTIL,TA,TA,NO,UNF,0,UNF,0,649,649,GASA,TA,N,SBRKR,649,668,0,1317,0,0,1,0,3,1,TA,6,TYP,0,,DETCHD,1920.0,UNF,1,250,TA,FA,N,0,54,172,0,0,0,,MNPRV,,0,7,2008-01-01,WD,NORMAL,40000
32,20,RL,,8544,PAVE,,IR1,LVL,ALLPUB,CULDSAC,GTL,SAWYER,NORM,NORM,1FAM,1STORY,5,6,1966-01-01,2006-01-01,GABLE,COMPSHG,HDBOARD,HDBOARD,,0.0,TA,TA,CBLOCK,TA,TA,NO,UNF,0,UNF,0,1228,1228,GASA,GD,Y,SBRKR,1228,0,0,1228,0,0,1,1,3,1,GD,6,TYP,0,,ATTCHD,1966.0,UNF,1,271,TA,TA,Y,0,65,0,0,0,0,,MNPRV,,0,6,2008-01-01,WD,NORMAL,149350
33,20,RL,85.0,11049,PAVE,,REG,LVL,ALLPUB,CORNER,GTL,COLLGCR,NORM,NORM,1FAM,1STORY,8,5,2007-01-01,2007-01-01,GABLE,COMPSHG,VINYLSD,VINYLSD,,0.0,GD,TA,PCONC,EX,TA,AV,UNF,0,UNF,0,1234,1234,GASA,EX,Y,SBRKR,1234,0,0,1234,0,0,2,0,3,1,GD,7,TYP,0,,ATTCHD,2007.0,RFN,2,484,TA,TA,Y,0,30,0,0,0,0,,,,0,1,2008-01-01,WD,NORMAL,179900
34,20,RL,70.0,10552,PAVE,,IR1,LVL,ALLPUB,INSIDE,GTL,NAMES,NORM,NORM,1FAM,1STORY,5,5,1959-01-01,1959-01-01,HIP,COMPSHG,BRKFACE,BRKFACE,,0.0,TA,TA,CBLOCK,TA,TA,NO,REC,1018,UNF,0,380,1398,GASA,GD,Y,SBRKR,1700,0,0,1700,0,1,1,1,4,1,GD,6,TYP,1,GD,ATTCHD,1959.0,RFN,2,447,TA,TA,Y,0,38,0,0,0,0,,,,0,4,2010-01-01,WD,NORMAL,165500
35,120,RL,60.0,7313,PAVE,,REG,LVL,ALLPUB,INSIDE,GTL,NRIDGHT,NORM,NORM,TWNHSE,1STORY,9,5,2005-01-01,2005-01-01,HIP,COMPSHG,METALSD,METALSD,BRKFACE,246.0,EX,TA,PCONC,EX,TA,NO,GLQ,1153,UNF,0,408,1561,GASA,EX,Y,SBRKR,1561,0,0,1561,1,0,2,0,2,1,EX,6,TYP,1,GD,ATTCHD,2005.0,FIN,2,556,TA,TA,Y,203,47,0,0,0,0,,,,0,8,2007-01-01,WD,NORMAL,277500
36,60,RL,108.0,13418,PAVE,,REG,LVL,ALLPUB,INSIDE,GTL,NRIDGHT,NORM,NORM,1FAM,2STORY,8,5,2004-01-01,2005-01-01,GABLE,COMPSHG,VINYLSD,VINYLSD,STONE,132.0,GD,TA,PCONC,EX,TA,AV,UNF,0,UNF,0,1117,1117,GASA,EX,Y,SBRKR,1132,1320,0,2452,0,0,3,1,4,1,GD,9,TYP,1,GD,BUILTIN,2004.0,FIN,3,691,TA,TA,Y,113,32,0,0,0,0,,,,0,9,2006-01-01,WD,NORMAL,309000
37,20,RL,112.0,10859,PAVE,,REG,LVL,ALLPUB,CORNER,GTL,COLLGCR,NORM,NORM,1FAM,1STORY,5,5,1994-01-01,1995-01-01,GABLE,COMPSHG,VINYLSD,VINYLSD,,0.0,TA,TA,PCONC,GD,TA,NO,UNF,0,UNF,0,1097,1097,GASA,EX,Y,SBRKR,1097,0,0,1097,0,0,1,1,3,1,TA,6,TYP,0,,ATTCHD,1995.0,UNF,2,672,TA,TA,Y,392,64,0,0,0,0,,,,0,6,2009-01-01,WD,NORMAL,145000
38,20,RL,74.0,8532,PAVE,,REG,LVL,ALLPUB,INSIDE,GTL,NAMES,NORM,NORM,1FAM,1STORY,5,6,1954-01-01,1990-01-01,HIP,COMPSHG,WD SDNG,WD SDNG,BRKFACE,650.0,TA,TA,CBLOCK,TA,TA,NO,REC,1213,UNF,0,84,1297,GASA,GD,Y,SBRKR,1297,0,0,1297,0,1,1,0,3,1,TA,5,TYP,1,TA,ATTCHD,1954.0,FIN,2,498,TA,TA,Y,0,0,0,0,0,0,,,,0,10,2009-01-01,WD,NORMAL,153000
39,20,RL,68.0,7922,PAVE,,REG,LVL,ALLPUB,INSIDE,GTL,NAMES,NORM,NORM,1FAM,1STORY,5,7,1953-01-01,2007-01-01,GABLE,COMPSHG,VINYLSD,VINYLSD,,0.0,TA,GD,CBLOCK,TA,TA,NO,GLQ,731,UNF,0,326,1057,GASA,TA,Y,SBRKR,1057,0,0,1057,1,0,1,0,3,1,GD,5,TYP,0,,DETCHD,1953.0,UNF,1,246,TA,TA,Y,0,52,0,0,0,0,,,,0,1,2010-01-01,WD,ABNORML,109000
40,90,RL,65.0,6040,PAVE,,REG,LVL,ALLPUB,INSIDE,GTL,EDWARDS,NORM,NORM,DUPLEX,1STORY,4,5,1955-01-01,1955-01-01,GABLE,COMPSHG,ASBSHNG,PLYWOOD,,0.0,TA,TA,PCONC,,,,,0,,0,0,0,GASA,TA,N,FUSEP,1152,0,0,1152,0,0,2,0,2,2,FA,6,TYP,0,,,,,0,0,,,N,0,0,0,0,0,0,,,,0,6,2008-01-01,WD,ADJLAND,82000
41,20,RL,84.0,8658,PAVE,,REG,LVL,ALLPUB,INSIDE,GTL,NAMES,NORM,NORM,1FAM,1STORY,6,5,1965-01-01,1965-01-01,GABLE,COMPSHG,WD SDNG,WD SDNG,BRKFACE,101.0,TA,TA,CBLOCK,TA,TA,NO,REC,643,UNF,0,445,1088,GASA,EX,Y,SBRKR,1324,0,0,1324,0,0,2,0,3,1,TA,6,TYP,1,TA,ATTCHD,1965.0,RFN,2,440,TA,TA,Y,0,138,0,0,0,0,,GDWO,,0,12,2006-01-01,WD,ABNORML,160000
42,20,RL,115.0,16905,PAVE,,REG,LVL,ALLPUB,INSIDE,GTL,TIMBER,NORM,NORM,1FAM,1STORY,5,6,1959-01-01,1959-01-01,GABLE,COMPSHG,VINYLSD,VINYLSD,,0.0,TA,GD,CBLOCK,TA,TA,GD,BLQ,967,UNF,0,383,1350,GASA,GD,Y,SBRKR,1328,0,0,1328,0,1,1,1,2,1,TA,5,TYP,2,GD,ATTCHD,1959.0,RFN,1,308,TA,TA,P,0,104,0,0,0,0,,,,0,7,2007-01-01,WD,NORMAL,170000
43,85,RL,,9180,PAVE,,IR1,LVL,ALLPUB,CULDSAC,GTL,SAWYERW,NORM,NORM,1FAM,SFOYER,5,7,1983-01-01,1983-01-01,GABLE,COMPSHG,HDBOARD,HDBOARD,,0.0,TA,TA,CBLOCK,GD,TA,AV,ALQ,747,LWQ,93,0,840,GASA,GD,Y,SBRKR,884,0,0,884,1,0,1,0,2,1,GD,5,TYP,0,,ATTCHD,1983.0,RFN,2,504,TA,GD,Y,240,0,0,0,0,0,,MNPRV,,0,12,2007-01-01,WD,NORMAL,144000
44,20,RL,,9200,PAVE,,IR1,LVL,ALLPUB,CULDSAC,GTL,COLLGCR,NORM,NORM,1FAM,1STORY,5,6,1975-01-01,1980-01-01,HIP,COMPSHG,VINYLSD,VINYLSD,,0.0,TA,TA,CBLOCK,GD,TA,AV,LWQ,280,BLQ,491,167,938,GASA,TA,Y,SBRKR,938,0,0,938,1,0,1,0,3,1,TA,5,TYP,0,,DETCHD,1977.0,UNF,1,308,TA,TA,Y,145,0,0,0,0,0,,MNPRV,,0,7,2008-01-01,WD,NORMAL,130250
45,20,RL,70.0,7945,PAVE,,REG,LVL,ALLPUB,INSIDE,GTL,NAMES,NORM,NORM,1FAM,1STORY,5,6,1959-01-01,1959-01-01,GABLE,COMPSHG,BRKFACE,WD SDNG,,0.0,TA,TA,CBLOCK,TA,TA,NO,ALQ,179,BLQ,506,465,1150,GASA,EX,Y,FUSEA,1150,0,0,1150,1,0,1,0,3,1,TA,6,TYP,0,,ATTCHD,1959.0,RFN,1,300,TA,TA,Y,0,0,0,0,0,0,,,,0,5,2006-01-01,WD,NORMAL,141000
46,120,RL,61.0,7658,PAVE,,REG,LVL,ALLPUB,INSIDE,GTL,NRIDGHT,NORM,NORM,TWNHSE,1STORY,9,5,2005-01-01,2005-01-01,HIP,COMPSHG,METALSD,METALSD,BRKFACE,412.0,EX,TA,PCONC,EX,TA,NO,GLQ,456,UNF,0,1296,1752,GASA,EX,Y,SBRKR,1752,0,0,1752,1,0,2,0,2,1,EX,6,TYP,1,GD,ATTCHD,2005.0,RFN,2,576,TA,TA,Y,196,82,0,0,0,0,,,,0,2,2010-01-01,WD,NORMAL,319900
